"Year","County","Sex","Age","Harvest_Increase","year_freq","Class","Value","Class_Specify","Sex2","N_preharvest"
2026,"Jackson","All","All",0,"Baseline","precFawn",40.1915039136712,"Fawn",NA,NA
2027,"Jackson","All","All",0,"Baseline","precFawn",37.0985449428647,"Fawn",NA,NA
2028,"Jackson","All","All",0,"Baseline","precFawn",37.6673453019927,"Fawn",NA,NA
2029,"Jackson","All","All",0,"Baseline","precFawn",37.2715786878679,"Fawn",NA,NA
2030,"Jackson","All","All",0,"Baseline","precFawn",37.2235265043865,"Fawn",NA,NA
2031,"Jackson","All","All",0,"Baseline","precFawn",37.1729696218227,"Fawn",NA,NA
2032,"Jackson","All","All",0,"Baseline","precFawn",37.1542855364119,"Fawn",NA,NA
2033,"Jackson","All","All",0,"Baseline","precFawn",37.1447331394804,"Fawn",NA,NA
2034,"Jackson","All","All",0,"Baseline","precFawn",37.1385944248135,"Fawn",NA,NA
2035,"Jackson","All","All",0,"Baseline","precFawn",37.1373124437923,"Fawn",NA,NA
2026,"Jackson","All","All",0.1,"2026","precFawn",40.2341028380324,"Fawn",NA,NA
2027,"Jackson","All","All",0.1,"2026","precFawn",37.1881088555088,"Fawn",NA,NA
2028,"Jackson","All","All",0.1,"2026","precFawn",37.6906454542608,"Fawn",NA,NA
2029,"Jackson","All","All",0.1,"2026","precFawn",37.287340505379,"Fawn",NA,NA
2030,"Jackson","All","All",0.1,"2026","precFawn",37.2310248091902,"Fawn",NA,NA
2031,"Jackson","All","All",0.1,"2026","precFawn",37.1762411737879,"Fawn",NA,NA
2032,"Jackson","All","All",0.1,"2026","precFawn",37.1543624161074,"Fawn",NA,NA
2033,"Jackson","All","All",0.1,"2026","precFawn",37.1457120652191,"Fawn",NA,NA
2034,"Jackson","All","All",0.1,"2026","precFawn",37.1397160747574,"Fawn",NA,NA
2035,"Jackson","All","All",0.1,"2026","precFawn",37.1340301900082,"Fawn",NA,NA
2026,"Jackson","All","All",0.2,"2026","precFawn",40.2789831631767,"Fawn",NA,NA
2027,"Jackson","All","All",0.2,"2026","precFawn",37.2827753641707,"Fawn",NA,NA
2028,"Jackson","All","All",0.2,"2026","precFawn",37.715503530759,"Fawn",NA,NA
2029,"Jackson","All","All",0.2,"2026","precFawn",37.3043340212732,"Fawn",NA,NA
2030,"Jackson","All","All",0.2,"2026","precFawn",37.2385270023065,"Fawn",NA,NA
2031,"Jackson","All","All",0.2,"2026","precFawn",37.1796099460564,"Fawn",NA,NA
2032,"Jackson","All","All",0.2,"2026","precFawn",37.1560882593299,"Fawn",NA,NA
2033,"Jackson","All","All",0.2,"2026","precFawn",37.1475473155659,"Fawn",NA,NA
2034,"Jackson","All","All",0.2,"2026","precFawn",37.1396698624157,"Fawn",NA,NA
2035,"Jackson","All","All",0.2,"2026","precFawn",37.1367778192863,"Fawn",NA,NA
2026,"Jackson","All","All",0.3,"2026","precFawn",40.3275102145868,"Fawn",NA,NA
2027,"Jackson","All","All",0.3,"2026","precFawn",37.3802332001689,"Fawn",NA,NA
2028,"Jackson","All","All",0.3,"2026","precFawn",37.7415185783522,"Fawn",NA,NA
2029,"Jackson","All","All",0.3,"2026","precFawn",37.3204816169952,"Fawn",NA,NA
2030,"Jackson","All","All",0.3,"2026","precFawn",37.2446755259886,"Fawn",NA,NA
2031,"Jackson","All","All",0.3,"2026","precFawn",37.1833084947839,"Fawn",NA,NA
2032,"Jackson","All","All",0.3,"2026","precFawn",37.1602829958526,"Fawn",NA,NA
2033,"Jackson","All","All",0.3,"2026","precFawn",37.1459374693718,"Fawn",NA,NA
2034,"Jackson","All","All",0.3,"2026","precFawn",37.1402316957107,"Fawn",NA,NA
2035,"Jackson","All","All",0.3,"2026","precFawn",37.1375348246814,"Fawn",NA,NA
2026,"Jackson","All","All",0.4,"2026","precFawn",40.3753711876364,"Fawn",NA,NA
2027,"Jackson","All","All",0.4,"2026","precFawn",37.4810068045187,"Fawn",NA,NA
2028,"Jackson","All","All",0.4,"2026","precFawn",37.7702270153149,"Fawn",NA,NA
2029,"Jackson","All","All",0.4,"2026","precFawn",37.338964461687,"Fawn",NA,NA
2030,"Jackson","All","All",0.4,"2026","precFawn",37.2516230572497,"Fawn",NA,NA
2031,"Jackson","All","All",0.4,"2026","precFawn",37.1879625061667,"Fawn",NA,NA
2032,"Jackson","All","All",0.4,"2026","precFawn",37.1603103846789,"Fawn",NA,NA
2033,"Jackson","All","All",0.4,"2026","precFawn",37.1474523718725,"Fawn",NA,NA
2034,"Jackson","All","All",0.4,"2026","precFawn",37.1404300681247,"Fawn",NA,NA
2035,"Jackson","All","All",0.4,"2026","precFawn",37.1358289127997,"Fawn",NA,NA
2026,"Jackson","All","All",0.5,"2026","precFawn",40.4278468723322,"Fawn",NA,NA
2027,"Jackson","All","All",0.5,"2026","precFawn",37.5844339147091,"Fawn",NA,NA
2028,"Jackson","All","All",0.5,"2026","precFawn",37.7950916765378,"Fawn",NA,NA
2029,"Jackson","All","All",0.5,"2026","precFawn",37.3571915587115,"Fawn",NA,NA
2030,"Jackson","All","All",0.5,"2026","precFawn",37.2597995137709,"Fawn",NA,NA
2031,"Jackson","All","All",0.5,"2026","precFawn",37.1914353475632,"Fawn",NA,NA
